query,vol,kd,cpc,competition,intent,assigned_to,priority,status,compliance_risk,notes,primary_article_slug,coverage_status,kd_source,score,role,compliance,ai_overview,serp_verdict,sources
always feeling tired,2400,35,,,,B,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,discovery
always tired and fatigued,2400,63,,,,B,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,discovery
always tired fatigue,2400,35,,,,B,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,discovery
lack of energy always tired,2400,66,,,,B,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,discovery
always tired all the time,2400,65,,,,B,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,discovery
why do i always feel tired,2400,63,,,,B,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,discovery
lack of energy always feel tired,2400,35,,,,B,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,discovery
always feeling tired and fatigued,2400,62,,,,B,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,discovery
always feel tired and fatigued,2400,64,,,,B,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,discovery
always feel tired,2400,63,,,,B,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,discovery
brain fog meaning,2400,35,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,discovery
what food has iron,1900,57,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,1,spoke,,,,backlog
new pyramid of food,1900,41,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,backlog
lh hormone,1900,44,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,backlog
normal iron count,1900,22,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,backlog
normal iron level,1900,22,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,backlog
mean platelet volume,1900,22,,,,D,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,backlog
is folate iron,1900,34,,,,D/B12,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,backlog
is sodium a salt,1900,28,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,backlog
low testosterone guy,1900,65,,,,C,4,candidate,high,teardown/discovery 2026-06-21,,,dfs,1,spoke,gate,,,discovery
inflammation from blood test,1900,35,,,,G,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,commercial,,,,discovery
reasons for brain fog,1900,38,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,discovery
testosterone levels in males,1600,21,,,,C,4,candidate,high,teardown/discovery 2026-06-21,,,dfs,3,spoke,gate,,,backlog
vitamin b9 deficiency,1600,45,,,,D/B12,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,backlog
how do i lower my cortisol levels,1600,48,,,,cortisol,4,candidate,,teardown/discovery 2026-06-21,,,dfs,1,spoke,,,,backlog
signs and symptoms of vitamin deficiency,1600,40,,,,A,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,backlog
total white cell count,1600,22,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,backlog
folic deficiency anaemia,1600,49,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,1,spoke,,,,backlog
what are the sign of vitamin d deficiency,1600,97,,,,A,4,candidate,,teardown/discovery 2026-06-21,,,dfs,1,spoke,,,,discovery
vitamin a d e k deficiency symptoms,1600,29,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,discovery
brain fog treatment,1600,34,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,discovery
brain fog remedies,1600,33,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,discovery
brain fog remedy,1600,33,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,discovery
fog brain cure,1600,31,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,discovery
how to rid brain fog,1600,30,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,discovery
high cortisol means,1300,57,,,,cortisol,4,candidate,,teardown/discovery 2026-06-21,,,dfs,1,spoke,,,,backlog
bilirubin high,1300,41,,,,H,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,backlog
do exercise increase testosterone,1300,33,,,,C,4,candidate,high,teardown/discovery 2026-06-21,,,dfs,2,spoke,gate,,,backlog
how to improve liver function test,1300,49,,,,H,4,candidate,,teardown/discovery 2026-06-21,,,dfs,1,spoke,,,,backlog
can exercise increase testosterone,1300,33,,,,C,4,candidate,high,teardown/discovery 2026-06-21,,,dfs,2,spoke,gate,,,backlog
does exercise boost testosterone,1300,33,,,,C,4,candidate,high,teardown/discovery 2026-06-21,,,dfs,2,spoke,gate,,,backlog
does working out increase testosterone,1300,26,,,,C,4,candidate,high,teardown/discovery 2026-06-21,,,dfs,3,spoke,gate,,,backlog
will exercise increase testosterone,1300,26,,,,C,4,candidate,high,teardown/discovery 2026-06-21,,,dfs,3,spoke,gate,,,backlog
luteinizing hormone definition,1300,36,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,backlog
where testosterone produced,1300,67,,,,C,4,candidate,high,teardown/discovery 2026-06-21,,,dfs,1,spoke,gate,,,backlog
lh hormone definition,1300,23,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,backlog
can you get an std from oral sex,1300,31,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,backlog
reduce cortisol naturally,1300,47,,,,cortisol,4,candidate,,teardown/discovery 2026-06-21,,,dfs,1,spoke,,,,backlog
reasons for vitamin d deficiency,1300,49,,,,A,4,candidate,,teardown/discovery 2026-06-21,,,dfs,1,spoke,,,,discovery
underactive thyroid how to test,1300,36,,,,J,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,discovery
blood test results basophils,1300,,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,commercial,,,,discovery
high cortisol level symptoms,1000,57,,,,cortisol,4,candidate,,teardown/discovery 2026-06-21,,,dfs,1,spoke,,,,backlog
what are vitamins,1000,60,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,1,spoke,,,,backlog
blood urea normal value,1000,23,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,backlog
what is lh,1000,44,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,backlog
how to raise vitamin d,1000,38,,,,A,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,backlog
mpv mean platelet volume high,1000,22,,,,D,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,backlog
high mean platelet volume,1000,22,,,,D,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,backlog
platelet volume high,1000,22,,,,D,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,backlog
mpv elevated,1000,22,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,backlog
what is the meaning of mpv in blood test,1000,22,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,backlog
function of calcium,1000,57,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,1,spoke,,,,backlog
why am i always very tired,1000,23,,,,B,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,discovery
why am i always extremely tired,1000,23,,,,B,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,discovery
why am i always so tired,1000,23,,,,B,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,discovery
why am i always so tired all the time,1000,23,,,,B,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,discovery
why am i always really tired,1000,23,,,,B,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,discovery
liver function test elevated causes,1000,41,,,,H,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,discovery
liver function test high causes,1000,21,,,,H,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,discovery
liver function blood test high,1000,46,,,,H,4,candidate,,teardown/discovery 2026-06-21,,,dfs,1,spoke,,,,discovery
what does brain fog feel like,1000,21,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,discovery
blood test results liver high,1000,46,,,,H,4,candidate,,teardown/discovery 2026-06-21,,,dfs,1,spoke,,,,discovery
anaemia foods,880,50,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,1,spoke,,,,backlog
anemia food,880,26,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,backlog
132/82 blood pressure,880,59,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,1,spoke,,,,backlog
hormone for sex,880,43,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,backlog
us food pyramid,880,28,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,backlog
united states food pyramid,880,41,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,backlog
what food has iron in it,880,57,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,1,spoke,,,,backlog
which food contain iron,880,50,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,1,spoke,,,,backlog
bilirubin meaning,880,34,,,,H,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,backlog
diet high in iron,880,41,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,backlog
which food has iron,880,46,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,1,spoke,,,,backlog
normal vitamin d levels by age,880,50,,,,A,4,candidate,,teardown/discovery 2026-06-21,,,dfs,1,spoke,,,,backlog
iron level chart,880,28,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,backlog
low sedimentation rate,880,33,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,backlog
how to reduce high cortisol levels,880,48,,,,cortisol,4,candidate,,teardown/discovery 2026-06-21,,,dfs,1,spoke,,,,backlog
bloods hb,880,26,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,backlog
how to lower high cortisol levels,880,33,,,,cortisol,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,backlog
how avoid diabetes,880,63,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,1,spoke,,,,backlog
erythrocyte sedimentation rate low,880,36,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,backlog
how can i check my cholesterol,880,42,,,,I,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,backlog
always tired and sleepy,880,63,,,,B,4,candidate,,teardown/discovery 2026-06-21,,,dfs,1,spoke,,,,discovery
always tired no energy,880,42,,,,B,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,discovery
crp blood test normal range,880,42,,,,D,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,discovery
how can i test my cholesterol,880,42,,,,I,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,commercial,,,,discovery
what is normal testosterone level for a man,720,38,,,,C,4,candidate,high,teardown/discovery 2026-06-21,,,dfs,2,spoke,gate,,,backlog
serum albumin normal range,720,37,,,,H,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,backlog
signs of hormonal imbalance,720,24,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,backlog
hormonal imbalance in ladies,720,40,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,backlog
serum albumin normal value,720,26,,,,H,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,backlog
type cholesterol,720,47,,,,I,4,candidate,,teardown/discovery 2026-06-21,,,dfs,1,spoke,,,,backlog
causes of high triglycerides,720,52,,,,I,4,candidate,,teardown/discovery 2026-06-21,,,dfs,1,spoke,,,,backlog
hormone cycle,720,42,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,backlog
can weight lifting increase testosterone,720,33,,,,C,4,candidate,high,teardown/discovery 2026-06-21,,,dfs,2,spoke,gate,,,backlog
red blood cell distribution width low,720,25,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,backlog
lowering cortisol levels,720,32,,,,cortisol,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,backlog
blood test results for thyroid,720,37,,,,J,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,commercial,,,,discovery
blood test results for celiac disease,720,31,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,commercial,,,,discovery
results of diabetes blood test,720,48,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,commercial,,,,discovery
celiac blood test results,720,37,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,commercial,,,,discovery
b12 vitamin vegetables,590,39,,,,D/B12,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,backlog
how much testosterone do men have,590,56,,,,C,4,candidate,high,teardown/discovery 2026-06-21,,,dfs,1,spoke,gate,,,backlog
how much testosterone does a man have,590,47,,,,C,4,candidate,high,teardown/discovery 2026-06-21,,,dfs,1,spoke,gate,,,backlog
testosterone level,590,38,,,,C,4,candidate,high,teardown/discovery 2026-06-21,,,dfs,2,spoke,gate,,,backlog
what causes imbalanced hormones,590,24,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,backlog
are eggs high in iron,590,21,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,backlog
b9 deficiency symptoms,590,34,,,,D/B12,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,backlog
vitamin b9 deficiency symptoms,590,36,,,,D/B12,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,backlog
what are causes of hormonal imbalance,590,40,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,backlog
high urate causes,590,26,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,backlog
what food gives you iron,590,46,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,1,spoke,,,,backlog
foods with lots of iron,590,37,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,backlog
elevated bilirubin symptoms,590,43,,,,H,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,backlog
how to get more iron in my diet,590,42,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,backlog
vitamin d levels in uk,590,24,,,,A,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,backlog
how to test for magnesium deficiency at home,590,29,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,backlog
vitamin b 12 vegetables,590,34,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,backlog
can running increase testosterone,590,27,,,,C,4,candidate,high,teardown/discovery 2026-06-21,,,dfs,3,spoke,gate,,,backlog
lh function,590,36,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,backlog
glycated haemoglobin,590,48,,,,D,4,candidate,,teardown/discovery 2026-06-21,,,dfs,1,spoke,,,,backlog
stress and cortisol,590,56,,,,cortisol,4,candidate,,teardown/discovery 2026-06-21,,,dfs,1,spoke,,,,backlog
low calcium in blood test,590,26,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,backlog
how do i reduce my cortisol level,590,48,,,,cortisol,4,candidate,,teardown/discovery 2026-06-21,,,dfs,1,spoke,,,,backlog
mpv blood test high,590,26,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,backlog
normal red blood cell count,590,22,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,backlog
how to manage cortisol levels,590,48,,,,cortisol,4,candidate,,teardown/discovery 2026-06-21,,,dfs,1,spoke,,,,backlog
full blood count test meaning,590,26,,,,D,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,discovery
crp blood test high,590,27,,,,D,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,discovery
full blood count definition,590,26,,,,D,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,discovery
what blood test is for thyroid,590,56,,,,J,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,commercial,,,,discovery
low immune system tests,480,12,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,backlog
why am i always tired and have no energy,480,63,,,,B,4,candidate,,teardown/discovery 2026-06-21,,,dfs,0,spoke,,,,discovery
always wake up tired no matter how much sleep,480,35,,,,B,4,candidate,,teardown/discovery 2026-06-21,,,dfs,1,spoke,,,,discovery
men with low testosterone levels,480,32,,,,C,4,candidate,high,teardown/discovery 2026-06-21,,,dfs,1,spoke,gate,,,discovery
can erectile dysfunction be caused by low testosterone,480,23,,,,C,4,candidate,high,teardown/discovery 2026-06-21,,,dfs,2,spoke,gate,,,discovery
glucose blood test hba1c,480,48,,,,I,4,candidate,,teardown/discovery 2026-06-21,,,dfs,1,commercial,,,,discovery
ferritin foods,390,56,,,,D,4,candidate,,teardown/discovery 2026-06-21,,,dfs,0,spoke,,,,discovery
test results thyroid,390,37,,,,J,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,commercial,,,,discovery
vitamin d deficiency food,320,43,,,,A,4,candidate,,teardown/discovery 2026-06-21,,,dfs,1,spoke,,,,discovery
always tired and cold,320,14,,,,B,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,discovery
i am always extremely tired,320,43,,,,B,4,candidate,,teardown/discovery 2026-06-21,,,dfs,1,spoke,,,,discovery
what full blood count test for,320,26,,,,D,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,commercial,,,,discovery
low testosterone effects on men,320,57,,,,C,4,candidate,high,teardown/discovery 2026-06-21,,,dfs,0,spoke,gate,,,discovery
is brain fog dangerous,320,30,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,discovery
hba1c results normal range,320,15,,,,I,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,discovery
hba1c normal level range,320,22,,,,I,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,spoke,,,,discovery
nhs health check online,320,31,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,commercial,,,,discovery
full blood count meaning,260,45,,,,D,4,candidate,,teardown/discovery 2026-06-21,,,dfs,1,spoke,,,,discovery
what does full blood count include,260,14,,,,D,4,candidate,,teardown/discovery 2026-06-21,,,dfs,3,spoke,,,,discovery
can depression cause low testosterone,260,13,,,,C,4,candidate,high,teardown/discovery 2026-06-21,,,dfs,3,spoke,gate,,,discovery
can low testosterone cause depression in men,260,33,,,,C,4,candidate,high,teardown/discovery 2026-06-21,,,dfs,1,spoke,gate,,,discovery
does low testosterone cause depression,260,13,,,,C,4,candidate,high,teardown/discovery 2026-06-21,,,dfs,3,spoke,gate,,,discovery
will low testosterone cause depression,260,33,,,,C,4,candidate,high,teardown/discovery 2026-06-21,,,dfs,1,spoke,gate,,,discovery
why am i always tired and sleepy,210,42,,,,B,4,candidate,,teardown/discovery 2026-06-21,,,dfs,1,spoke,,,,discovery
will low testosterone make you tired,210,18,,,,B,4,candidate,high,teardown/discovery 2026-06-21,,,dfs,3,spoke,gate,,,discovery
does low testosterone make you tired,210,21,,,,B,4,candidate,high,teardown/discovery 2026-06-21,,,dfs,2,spoke,gate,,,discovery
can low testosterone make you tired,210,17,,,,B,4,candidate,high,teardown/discovery 2026-06-21,,,dfs,3,spoke,gate,,,discovery
brain fog treatment at home,210,34,,,,,4,candidate,,teardown/discovery 2026-06-21,,,dfs,2,commercial,,,,discovery
